locus_tag	ftype	length_bp	gene	EC_number	COG	product
prokka_00105	CDS	2673				hypothetical protein
prokka_00106	CDS	597				hypothetical protein
prokka_00107	CDS	309				hypothetical protein
prokka_00108	CDS	1524				hypothetical protein
prokka_00109	CDS	735				hypothetical protein
prokka_00110	CDS	1641	fumD	3.1.1.87		Fumonisin B1 esterase
prokka_00111	CDS	864				hypothetical protein
prokka_00112	CDS	885				hypothetical protein
prokka_00113	CDS	795				hypothetical protein
prokka_00114	CDS	753	mkl_1		COG1127	putative ribonucleotide transport ATP-binding protein mkl
prokka_00115	CDS	1008				hypothetical protein
prokka_00116	CDS	876				hypothetical protein
prokka_00117	CDS	1014			COG3385	IS4 family transposase ISPa45
prokka_00118	CDS	2109				hypothetical protein
prokka_00119	CDS	576				hypothetical protein
prokka_00120	CDS	243				hypothetical protein
prokka_00121	CDS	693	btsR		COG3279	Transcriptional regulatory protein BtsR
prokka_00122	CDS	1152				hypothetical protein
prokka_00123	CDS	219				hypothetical protein
prokka_00124	CDS	438				hypothetical protein
prokka_00125	CDS	1410	oprM_2		COG1538	Outer membrane protein OprM
prokka_00126	CDS	3294	oqxB12_1			multidrug efflux RND transporter permease subunit OqxB12
prokka_00127	CDS	1197	bepF_1			Efflux pump periplasmic linker BepF
prokka_00128	CDS	903			COG3039	IS5 family transposase IS4811
prokka_00129	CDS	912	azoB	1.7.-.-		NAD(P)H azoreductase
prokka_00130	CDS	870				hypothetical protein
prokka_00131	CDS	489				hypothetical protein
prokka_00132	CDS	1080				IS3 family transposase ISPpr7
prokka_00133	CDS	2385		3.2.1.-		Putative beta-xylosidase
prokka_00134	CDS	1143	xylH_1		COG4214	Xylose transport system permease protein XylH
prokka_00135	CDS	1539	xylG	7.5.2.10	COG1129	Xylose import ATP-binding protein XylG
prokka_00136	CDS	1005	xylF_1		COG4213	D-xylose-binding periplasmic protein
prokka_00137	CDS	1773	araC_1	4.2.1.25		L-arabonate dehydratase
prokka_00138	CDS	885		3.1.1.99		6-deoxy-6-sulfogluconolactonase
prokka_00139	CDS	780	xylB_1	1.1.1.175		D-xylose 1-dehydrogenase
prokka_00140	CDS	1191				hypothetical protein
prokka_00141	CDS	1392	gudD_1	4.2.1.40	COG4948	Glucarate dehydratase
prokka_00142	CDS	1266				hypothetical protein
prokka_00143	CDS	1635		3.2.1.55	COG3507	Non-reducing end alpha-L-arabinofuranosidase BoGH43B
prokka_00144	CDS	2907				hypothetical protein
prokka_00145	CDS	1131	xlnA	3.2.1.8		Endo-1,4-beta-xylanase A
prokka_00146	CDS	2151		3.2.1.131	COG3661	Extracellular xylan exo-alpha-(1->2)-glucuronosidase
prokka_00147	CDS	591				hypothetical protein
prokka_00148	CDS	513				hypothetical protein
prokka_00149	CDS	1110	ccpA_1		COG1609	Catabolite control protein A
prokka_00150	CDS	276				hypothetical protein
prokka_00151	CDS	1830				hypothetical protein
prokka_00152	CDS	1812				hypothetical protein
prokka_00153	CDS	384				hypothetical protein
prokka_00154	CDS	2241	ycf3_1			Photosystem I assembly protein Ycf3
prokka_00155	CDS	438				hypothetical protein
prokka_00156	CDS	1998				hypothetical protein
prokka_00157	CDS	753	baeR_2		COG0745	Transcriptional regulatory protein BaeR
prokka_00158	CDS	1026				hypothetical protein
prokka_00159	CDS	405				hypothetical protein
prokka_00160	CDS	363	walK_1	2.7.13.3		Sensor histidine kinase WalK
prokka_00161	CDS	540				hypothetical protein
prokka_00162	CDS	405				hypothetical protein
prokka_00163	CDS	333				hypothetical protein
prokka_00164	CDS	906	corA		COG0598	Cobalt/magnesium transport protein CorA
prokka_00165	CDS	237				hypothetical protein
prokka_00166	CDS	390				hypothetical protein
prokka_00167	CDS	885				hypothetical protein
prokka_00168	CDS	411				hypothetical protein
prokka_00169	CDS	1503				hypothetical protein
prokka_00170	CDS	471				hypothetical protein
prokka_00171	CDS	1719				hypothetical protein
prokka_00172	CDS	2442	xly_1	4.2.2.12		Xanthan lyase
prokka_00173	CDS	996	xerC_1			Tyrosine recombinase XerC
prokka_00174	CDS	780	ycfH_1	3.1.-.-	COG0084	putative metal-dependent hydrolase YcfH
prokka_00175	CDS	684				hypothetical protein
prokka_00176	CDS	960				hypothetical protein
prokka_00177	CDS	966				hypothetical protein
prokka_00178	CDS	201				hypothetical protein
prokka_00179	CDS	2115	fusA		COG0480	Elongation factor G
prokka_00180	CDS	501				hypothetical protein
prokka_00181	CDS	225				hypothetical protein
prokka_00182	CDS	2157				hypothetical protein
prokka_00183	CDS	906	rhaS_1			HTH-type transcriptional activator RhaS
prokka_00184	CDS	2790	btuB_1			Vitamin B12 transporter BtuB
prokka_00185	CDS	864				hypothetical protein
prokka_00186	CDS	396				hypothetical protein
prokka_00187	CDS	1830				hypothetical protein
prokka_00188	CDS	1161	ampC_1	3.5.2.6		Beta-lactamase
prokka_00189	CDS	1326		3.1.1.3		Lipase
prokka_00190	CDS	534				hypothetical protein
prokka_00191	CDS	834				hypothetical protein
prokka_00192	CDS	456				hypothetical protein
prokka_00193	CDS	1971	rlhA		COG0826	23S rRNA 5-hydroxycytidine synthase
prokka_00194	CDS	720				hypothetical protein
prokka_00195	CDS	1452	egtB	1.14.99.50		Hercynine oxygenase
prokka_00196	CDS	732				hypothetical protein
prokka_00197	CDS	1203				hypothetical protein
prokka_00198	CDS	462				hypothetical protein
prokka_00199	CDS	117				hypothetical protein
prokka_00200	CDS	570				hypothetical protein
prokka_00201	CDS	885	cobA_2	2.1.1.107		Uroporphyrinogen-III C-methyltransferase
prokka_00202	CDS	531				hypothetical protein
prokka_00203	CDS	2646	pepN_2	3.4.11.2	COG0308	Aminopeptidase N
prokka_00204	CDS	1152		6.3.2.2	COG2170	Putative glutamate--cysteine ligase 2
prokka_00205	CDS	396				hypothetical protein
prokka_00206	CDS	1032				hypothetical protein
prokka_00207	CDS	909		3.5.2.6		Metallo-beta-lactamase L1 type 3
prokka_00208	CDS	447				hypothetical protein
prokka_00209	CDS	1332				hypothetical protein
prokka_00210	CDS	768				hypothetical protein
prokka_00211	CDS	1773	kstD	1.3.99.4	COG1053	3-oxosteroid 1-dehydrogenase
prokka_00212	CDS	825				hypothetical protein
prokka_00213	CDS	537				hypothetical protein
prokka_00214	CDS	762	yadH_2		COG0842	Inner membrane transport permease YadH
prokka_00215	CDS	924	yadG_2		COG1131	putative ABC transporter ATP-binding protein YadG
prokka_00216	CDS	1392	puuA_2	6.3.1.11	COG0174	Gamma-glutamylputrescine synthetase PuuA
prokka_00217	CDS	1428				hypothetical protein
prokka_00218	CDS	1470				hypothetical protein
prokka_00219	CDS	1683				hypothetical protein
prokka_00220	CDS	483				hypothetical protein
prokka_00221	CDS	687				hypothetical protein
prokka_00222	CDS	201				hypothetical protein
prokka_00223	CDS	210				hypothetical protein
prokka_00224	CDS	1929	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
prokka_00225	CDS	483				hypothetical protein
prokka_00226	CDS	1038				hypothetical protein
prokka_00227	CDS	1059	idiA		COG1840	Iron deficiency-induced protein A
prokka_00228	CDS	1944				hypothetical protein
prokka_00229	CDS	1110				hypothetical protein
prokka_00230	CDS	942	oppB		COG0601	Oligopeptide transport system permease protein OppB
prokka_00231	CDS	939	oppC_1		COG1173	Oligopeptide transport system permease protein OppC
prokka_00232	CDS	1839	gsiA	7.4.2.10	COG1123	Glutathione import ATP-binding protein GsiA
prokka_00233	CDS	396				hypothetical protein
prokka_00234	CDS	1656	oppA		COG4166	Periplasmic oligopeptide-binding protein
prokka_00235	tRNA	77				tRNA-Arg(cct)
prokka_00236	CDS	1137	ycf3_2			Photosystem I assembly protein Ycf3
prokka_00237	CDS	1158	ampC_2	3.5.2.6		Beta-lactamase
prokka_00238	CDS	1779				hypothetical protein
prokka_00239	CDS	384				hypothetical protein
prokka_00240	CDS	648	nth_1	4.2.99.18	COG0177	Endonuclease III
prokka_00241	CDS	738	rsxB_1	7.-.-.-		Ion-translocating oxidoreductase complex subunit B
prokka_00242	CDS	1236				hypothetical protein
prokka_00243	CDS	1068		1.18.1.2	COG0492	Ferredoxin--NADP reductase
prokka_00244	CDS	324			COG1146	Ferredoxin 1
prokka_00245	CDS	1191				hypothetical protein
prokka_00246	CDS	279				hypothetical protein
prokka_00247	CDS	636				hypothetical protein
prokka_00248	CDS	504				hypothetical protein
prokka_00249	CDS	489				hypothetical protein
prokka_00250	CDS	303				hypothetical protein
prokka_00251	CDS	906	rhaR_1			HTH-type transcriptional activator RhaR
prokka_00252	CDS	474	iorA	1.3.99.16		Isoquinoline 1-oxidoreductase subunit alpha
prokka_00253	CDS	2235	iorB	1.3.99.16		Isoquinoline 1-oxidoreductase subunit beta
prokka_00254	CDS	603	mdaB	1.6.5.10	COG2249	NADPH:quinone oxidoreductase MdaB
prokka_00255	CDS	405				hypothetical protein
prokka_00256	CDS	660			COG3385	IS4 family transposase ISAzo5
prokka_00257	CDS	219				hypothetical protein
prokka_00258	tRNA	77				tRNA-Pro(cgg)
prokka_00259	CDS	2280				hypothetical protein
prokka_00260	CDS	1335	pcaK		COG0477	4-hydroxybenzoate transporter PcaK
prokka_00261	CDS	1395	ydcO_1		COG3135	Inner membrane protein YdcO
prokka_00262	CDS	2340	btuB_2			Vitamin B12 transporter BtuB
prokka_00263	CDS	381	arsC_1	1.20.4.1		Arsenate reductase
prokka_00264	CDS	699				hypothetical protein
prokka_00265	CDS	1047	ispB	2.5.1.90	COG0142	Octaprenyl diphosphate synthase
prokka_00266	CDS	312	rplU		COG0261	50S ribosomal protein L21
prokka_00267	CDS	258	rpmA_1		COG0211	50S ribosomal protein L27
prokka_00268	CDS	1110	obg_1	3.6.5.-		GTPase Obg
prokka_00269	CDS	1119	proB_1	2.7.2.11		Glutamate 5-kinase
prokka_00270	CDS	279				hypothetical protein
prokka_00271	CDS	927				hypothetical protein
prokka_00272	CDS	741	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
prokka_00273	CDS	510				hypothetical protein
prokka_00274	CDS	807				hypothetical protein
prokka_00275	CDS	426				hypothetical protein
prokka_00276	CDS	294				hypothetical protein
prokka_00277	CDS	1632	nhaK_1		COG0025	Sodium, potassium, lithium and rubidium/H(+) antiporter
prokka_00278	CDS	645	yieH_1	3.1.3.-	COG0637	6-phosphogluconate phosphatase
prokka_00279	CDS	537	msrA_1	1.8.4.11	COG0225	Peptide methionine sulfoxide reductase MsrA
prokka_00280	CDS	447				hypothetical protein
prokka_00281	CDS	1056	yahK	1.1.1.2	COG1064	Aldehyde reductase YahK
prokka_00282	CDS	261				hypothetical protein
prokka_00283	CDS	462				hypothetical protein
prokka_00284	CDS	255				hypothetical protein
prokka_00285	CDS	438				hypothetical protein
prokka_00286	CDS	96				hypothetical protein
prokka_00287	CDS	516				hypothetical protein
prokka_00288	CDS	525				hypothetical protein
prokka_00289	CDS	660				hypothetical protein
prokka_00290	CDS	603				hypothetical protein
prokka_00291	CDS	3099				hypothetical protein
prokka_00292	CDS	168				hypothetical protein
prokka_00293	CDS	636	vraR_1			Response regulator protein VraR
prokka_00294	CDS	924				hypothetical protein
prokka_00295	CDS	1374		1.13.11.82		8'-apo-carotenoid 13,14-cleaving dioxygenase
prokka_00296	CDS	699	hchA	3.1.2.-		Protein/nucleic acid deglycase HchA
prokka_00297	CDS	300	lsrG	5.3.1.32		(4S)-4-hydroxy-5-phosphonooxypentane-2,3-dione isomerase
prokka_00298	CDS	1044				hypothetical protein
prokka_00299	CDS	537				hypothetical protein
prokka_00300	CDS	981	per1_1	3.5.2.6		Extended-spectrum beta-lactamase PER-1
prokka_00301	CDS	2028	mrdA_1	3.4.16.4		Peptidoglycan D,D-transpeptidase MrdA
prokka_00302	CDS	444				hypothetical protein
prokka_00303	CDS	366				hypothetical protein
prokka_00304	CDS	387				hypothetical protein
prokka_00305	CDS	1197				hypothetical protein
prokka_00306	CDS	1665	chiA			putative bifunctional chitinase/lysozyme
prokka_00307	CDS	651				hypothetical protein
prokka_00308	CDS	135				hypothetical protein
prokka_00309	CDS	345				hypothetical protein
prokka_00310	CDS	186				hypothetical protein
prokka_00311	CDS	681	arlR_1		COG0745	Response regulator ArlR
prokka_00312	CDS	501				hypothetical protein
prokka_00313	CDS	1278	yhjE_2			Inner membrane metabolite transport protein YhjE
prokka_00314	CDS	858				hypothetical protein
prokka_00315	CDS	504	ogt_1	2.1.1.63	COG0350	Methylated-DNA--protein-cysteine methyltransferase
prokka_00316	CDS	429				hypothetical protein
prokka_00317	CDS	294				hypothetical protein
prokka_00318	CDS	402				hypothetical protein
prokka_00319	CDS	726				hypothetical protein
prokka_00320	CDS	870				hypothetical protein
prokka_00321	CDS	783				hypothetical protein
prokka_00322	CDS	576	sigM_1		COG1595	ECF RNA polymerase sigma factor SigM
prokka_00323	CDS	6390	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
prokka_00324	CDS	1239	rcsC_3	2.7.13.3		Sensor histidine kinase RcsC
prokka_00325	CDS	396	atoC_1		COG2204	Regulatory protein AtoC
prokka_00326	CDS	450				hypothetical protein
prokka_00327	CDS	492				hypothetical protein
prokka_00328	CDS	1329				hypothetical protein
prokka_00329	CDS	804	bepG_1			Efflux pump membrane transporter BepG
prokka_00330	CDS	1440	oprM_3		COG1538	Outer membrane protein OprM
prokka_00331	CDS	186				hypothetical protein
prokka_00332	CDS	477				hypothetical protein
prokka_00333	CDS	468				hypothetical protein
prokka_00334	CDS	333				hypothetical protein
prokka_00335	CDS	240				hypothetical protein
prokka_00336	CDS	351				hypothetical protein
prokka_00337	CDS	222	ybbA_1		COG2819	putative protein YbbA
prokka_00338	CDS	672				hypothetical protein
prokka_00339	CDS	1137	sotB_1		COG2814	Sugar efflux transporter
prokka_00340	CDS	882	bla_2	3.5.2.6		Beta-lactamase CTX-M-1
prokka_00341	CDS	876	dcp_1	3.4.15.5	COG0339	Dipeptidyl carboxypeptidase
prokka_00342	CDS	198				hypothetical protein
prokka_00343	CDS	651				hypothetical protein
prokka_00344	CDS	567				hypothetical protein
prokka_00345	CDS	336	rsmA_1	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
prokka_00346	CDS	378	apaG_1		COG2967	Protein ApaG
prokka_00347	CDS	705	apaH_1	3.6.1.41	COG0639	Bis(5'-nucleosyl)-tetraphosphatase [symmetrical]
prokka_00348	CDS	516	folA_1	1.5.1.3	COG0262	Dihydrofolate reductase
prokka_00349	CDS	513				IS1595 family transposase ISSsu9
prokka_00350	CDS	336	tcyP_1		COG1823	L-cystine uptake protein TcyP
prokka_00351	CDS	750	ccrA_1	3.5.2.6		Metallo-beta-lactamase type 2
prokka_00352	CDS	714	ampC_3	3.5.2.6	COG1680	Beta-lactamase
prokka_00353	CDS	444	ampC_4	3.5.2.6	COG1680	Beta-lactamase
prokka_00354	CDS	726	ampC_5	3.5.2.6	COG1680	Beta-lactamase
prokka_00355	CDS	453	ampC_6	3.5.2.6	COG1680	Beta-lactamase
prokka_00356	CDS	585	ampC_7	3.5.2.6		Beta-lactamase
prokka_00357	CDS	264	ampC_8	3.5.2.6	COG1680	Beta-lactamase
prokka_00358	CDS	567	ampC_9	3.5.2.6	COG1680	Beta-lactamase
prokka_00359	CDS	585	ampC_10	3.5.2.6		Beta-lactamase
prokka_00360	CDS	249				hypothetical protein
prokka_00361	CDS	972				hypothetical protein
prokka_00362	CDS	729	ampC_11	3.5.2.6	COG1680	Beta-lactamase
prokka_00363	CDS	696	ampC_12	3.5.2.6	COG1680	Beta-lactamase
prokka_00364	CDS	366				hypothetical protein
prokka_00365	CDS	1167	ampC_13	3.5.2.6	COG1680	Beta-lactamase
prokka_00366	CDS	318	gdx_1		COG2076	Guanidinium exporter
prokka_00367	CDS	240				hypothetical protein
prokka_00368	CDS	1146	ampC_14	3.5.2.6		Beta-lactamase
prokka_00369	CDS	1167	ampC_15	3.5.2.6	COG1680	Beta-lactamase
prokka_00370	CDS	1167	ampC_16	3.5.2.6	COG1680	Beta-lactamase
prokka_00371	CDS	1167	ampC_17	3.5.2.6	COG1680	Beta-lactamase
prokka_00372	CDS	1167	ampC_18	3.5.2.6	COG1680	Beta-lactamase
prokka_00373	CDS	1167	ampC_19	3.5.2.6	COG1680	Beta-lactamase
prokka_00374	CDS	1167	ampC_20	3.5.2.6	COG1680	Beta-lactamase
prokka_00375	CDS	1029	ampC_21	3.5.2.6	COG1680	Beta-lactamase
prokka_00376	CDS	1167	ampC_22	3.5.2.6	COG1680	Beta-lactamase
prokka_00377	CDS	1167	ampC_23	3.5.2.6	COG1680	Beta-lactamase
prokka_00378	CDS	1167	ampC_24	3.5.2.6	COG1680	Beta-lactamase
prokka_00379	CDS	1134	ampC_25	3.5.2.6	COG1680	Beta-lactamase
prokka_00380	CDS	1146	ampC_26	3.5.2.6	COG1680	Beta-lactamase
prokka_00381	CDS	1134	ampC_27	3.5.2.6	COG1680	Beta-lactamase
prokka_00382	CDS	1167	ampC_28	3.5.2.6	COG1680	Beta-lactamase
prokka_00383	CDS	1167	ampC_29	3.5.2.6	COG1680	Beta-lactamase
prokka_00384	CDS	1167	ampC_30	3.5.2.6	COG1680	Beta-lactamase
prokka_00385	CDS	1167	ampC_31	3.5.2.6	COG1680	Beta-lactamase
prokka_00386	CDS	1167	ampC_32	3.5.2.6	COG1680	Beta-lactamase
prokka_00387	CDS	1167	ampC_33	3.5.2.6	COG1680	Beta-lactamase
prokka_00388	CDS	1167	ampC_34	3.5.2.6	COG1680	Beta-lactamase
prokka_00389	CDS	1077	ampC_35	3.5.2.6		Beta-lactamase
prokka_00390	CDS	1167	ampC_36	3.5.2.6	COG1680	Beta-lactamase
prokka_00391	CDS	1146	ampC_37	3.5.2.6		Beta-lactamase
prokka_00392	CDS	1146	ampC_38	3.5.2.6		Beta-lactamase
prokka_00393	CDS	1167	ampC_39	3.5.2.6	COG1680	Beta-lactamase
prokka_00394	CDS	1146	ampC_40	3.5.2.6		Beta-lactamase
prokka_00395	CDS	1146	ampC_41	3.5.2.6		Beta-lactamase
prokka_00396	CDS	1146	ampC_42	3.5.2.6		Beta-lactamase
prokka_00397	CDS	1146	ampC_43	3.5.2.6		Beta-lactamase
prokka_00398	CDS	1167	ampC_44	3.5.2.6	COG1680	Beta-lactamase
prokka_00399	CDS	1167	ampC_45	3.5.2.6	COG1680	Beta-lactamase
prokka_00400	CDS	1167	ampC_46	3.5.2.6	COG1680	Beta-lactamase
prokka_00401	CDS	1167	ampC_47	3.5.2.6	COG1680	Beta-lactamase
prokka_00402	CDS	1167	ampC_48	3.5.2.6	COG1680	Beta-lactamase
prokka_00403	CDS	1146	ampC_49	3.5.2.6		Beta-lactamase
prokka_00404	CDS	279	gdx_2		COG2076	Guanidinium exporter
prokka_00405	CDS	1134	ampC_50	3.5.2.6	COG1680	Beta-lactamase
prokka_00406	CDS	891	per1_2	3.5.2.6		Extended-spectrum beta-lactamase PER-1
prokka_00407	CDS	891	per1_3	3.5.2.6		Extended-spectrum beta-lactamase PER-1
prokka_00408	CDS	891	per1_4	3.5.2.6		Extended-spectrum beta-lactamase PER-1
prokka_00409	CDS	909	per1_5	3.5.2.6		Extended-spectrum beta-lactamase PER-1
prokka_00410	CDS	891	per1_6	3.5.2.6		Extended-spectrum beta-lactamase PER-1
prokka_00411	CDS	891	per1_7	3.5.2.6		Extended-spectrum beta-lactamase PER-1
prokka_00412	CDS	891	per1_8	3.5.2.6		Extended-spectrum beta-lactamase PER-1
prokka_00413	CDS	891	per1_9	3.5.2.6		Extended-spectrum beta-lactamase PER-1
prokka_00414	CDS	891	per1_10	3.5.2.6		Extended-spectrum beta-lactamase PER-1
prokka_00415	CDS	891	per1_11	3.5.2.6		Extended-spectrum beta-lactamase PER-1
prokka_00416	CDS	891	per1_12	3.5.2.6		Extended-spectrum beta-lactamase PER-1
prokka_00417	CDS	891	per1_13	3.5.2.6		Extended-spectrum beta-lactamase PER-1
prokka_00418	CDS	891	per1_14	3.5.2.6		Extended-spectrum beta-lactamase PER-1
prokka_00419	CDS	891	per1_15	3.5.2.6		Extended-spectrum beta-lactamase PER-1
prokka_00420	CDS	891	per1_16	3.5.2.6		Extended-spectrum beta-lactamase PER-1
prokka_00421	CDS	891	per1_17	3.5.2.6		Extended-spectrum beta-lactamase PER-1
prokka_00422	CDS	891	per1_18	3.5.2.6		Extended-spectrum beta-lactamase PER-1
prokka_00423	CDS	891	per1_19	3.5.2.6		Extended-spectrum beta-lactamase PER-1
prokka_00424	CDS	891	per1_20	3.5.2.6		Extended-spectrum beta-lactamase PER-1
prokka_00425	CDS	867	per1_21	3.5.2.6		Extended-spectrum beta-lactamase PER-1
prokka_00426	CDS	906	per1_22	3.5.2.6		Extended-spectrum beta-lactamase PER-1
prokka_00427	CDS	906	per1_23	3.5.2.6		Extended-spectrum beta-lactamase PER-1
prokka_00428	CDS	906	per1_24	3.5.2.6		Extended-spectrum beta-lactamase PER-1
prokka_00429	CDS	906	per1_25	3.5.2.6		Extended-spectrum beta-lactamase PER-1
prokka_00430	CDS	240				hypothetical protein
prokka_00431	CDS	906	per1_26	3.5.2.6		Extended-spectrum beta-lactamase PER-1
